"Category","Males","Males Confidence Interval (low)","Males Confidence Interval (high)","Females","Females Confidence Interval (low)","Females Confidence Interval (high)","Persons","Persons Confidence Interval (low)","Persons Confidence Interval (high)"
"2001",25.4,24.3,26.5,19.5,18.4,20.6,22.4,21.6,23.2
"2004-05",24.2,23.1,25.4,18.4,17.4,19.4,21.3,20.5,22.1
"2007-08",20.9,18.8,22.9,17,15.4,18.7,18.9,18,19.8
"2011-12",18.3,17.3,19.3,14.1,13.3,14.9,16.1,15.5,16.7
"2014-15",16.9,15.7,18.1,12.1,11.1,13.1,14.5,13.6,15.4
"2017-18",16.5,15.8,17.2,11.1,10.6,11.6,13.8,13.3,14.3
"2020-21",12.6,11.6,13.6,8.8,7.9,9.7,10.7,10,11.4
